Firm Name,name,Cluster ID,Match Confidence
trafigura group pte. ltd.,trafigura group   ,0,0.5618739128112793
vitol asia pte ltd.,vitol asia   ,30,1.0
mercuria holdings  pte. ltd.,mercuria holdings   ,31,1.0
gunvor singapore pte. ltd.,gunvor singapore   ,32,1.0
louis dreyfus company asia pte. ltd.,louis dreyfus company asia   ,4,0.6551765203475952
wilmar international limited,wilmar international ,5,0.7004098892211914
olam group limited,olam group ,33,1.0
cofco international singapore pte. ltd.,cofco international singapore   ,6,0.6371331810951233
cargill asia pacific holdings pte. ltd.,cargill asia pacific holdings   ,8,0.523583710193634
glencore singapore pte. ltd.,glencore singapore   ,9,0.570213794708252
archer-daniels-midland singapore pte. ltd.,archer daniels midland singapore   ,34,1.0
bunge asia pte. ltd.,bunge asia   ,10,0.5513501763343811
marubeni corporation,marubeni corporation,11,0.5746174454689026
mitsui & co.  pte. ltd.,mitsui co   ,35,1.0
ptt international trading pte. ltd.,ptt international trading   ,36,1.0
shell eastern trading  ltd,shell eastern trading ,12,0.694503128528595
bp asia pacific pte ltd,bp asia pacific  ,37,1.0
totalenergies marketing asia-pacific middle east pte. ltd.,totalenergies marketing asia pacific middle east   ,38,1.0
sinochem international oil  pte ltd,sinochem international oil  ,39,1.0
agrocorp international pte ltd,agrocorp international  ,14,0.6896745562553406
golden agri international pte ltd,golden agri international  ,40,1.0
musim mas holdings pte. ltd.,musim mas holdings   ,41,1.0
first resources limited,first resources ,15,0.7175461649894714
aavanti industries pte. ltd.,aavanti industries   ,42,1.0
olam agri holdings limited,olam agri holdings ,43,1.0
gerald singapore pte. ltd.,gerald singapore   ,44,1.0
pacific basin sg pte. ltd.,pacific basin sg   ,45,1.0
wilmar sugar pte. ltd.,wilmar sugar   ,46,1.0
sahara energy international pte. ltd.,sahara energy international   ,47,1.0
socar trading singapore pte ltd,socar trading singapore  ,48,1.0
wogen south east asia pte. ltd.,wogen south east asia   ,49,1.0
traxys singapore pte. ltd.,traxys singapore   ,16,0.7175461649894714
trafigura carbon trading pte. ltd.,trafigura carbon trading   ,50,1.0
ixm pte. ltd.,ixm   ,51,1.0
aditya birla global trading  pte. ltd.,aditya birla global trading   ,52,1.0
tata international singapore pte ltd.,tata international singapore   ,53,1.0
vinmar overseas  pte ltd,vinmar overseas  ,54,1.0
helm asia pte. ltd.,helm asia   ,55,1.0
sino gas holdings pte. limited,sino gas holdings  ,56,1.0
posco international singapore pte. ltd.,posco international singapore   ,57,1.0
oilmar sgp pte. ltd.,oilmar sgp   ,58,1.0
nala renewables pte. limited,nala renewables  ,59,1.0
straits energy resources bhd,straits energy resources bhd,60,1.0
indofood agri resources ltd.,indofood agri resources  ,61,1.0
adaro international  pte. ltd.,adaro international   ,62,1.0
hg metal manufacturing limited,hg metal manufacturing ,63,1.0
sd guthrie international limited,sd guthrie international ,64,1.0
agrex asia pte. ltd.,agrex asia   ,65,1.0
lx_international  pte. ltd.,lx international   ,66,1.0
hyundai corporation singapore pte. ltd.,hyundai corporation singapore   ,67,1.0
woodside energy australia asia holdings pte. ltd.,woodside energy australia asia holdings   ,68,1.0
samsung c&t singapore pte. ltd.,samsung c t singapore   ,69,1.0
sinopec fuel oil  pte. ltd.,sinopec fuel oil   ,7,0.5627008676528931
sojitz asia pte. ltd.,sojitz asia   ,70,1.0
sumitomo corporation asia & oceania pte. ltd.,sumitomo corporation asia oceania   ,71,1.0
citic commodities pte. ltd.,citic commodities   ,72,1.0
petrochina international  pte. ltd.,petrochina international   ,73,1.0
unipec singapore pte. ltd.,unipec singapore   ,18,0.6946758031845093
sinopec international  pte. ltd.,sinopec international   ,74,1.0
sk energy international pte. ltd.,sk energy international   ,75,1.0
itochu singapore pte ltd,itochu singapore  ,76,1.0
gs global singapore pte. ltd.,gs global singapore   ,77,1.0
cipta commodity trading pte. ltd.,cipta commodity trading   ,78,1.0
davis commodities pte. ltd.,davis commodities   ,79,1.0
om materials  pte ltd,om materials  ,80,1.0
"banpu minerals  pte ltd, banpu singapore pte ltd.",banpu minerals   banpu singapore   ,81,1.0
hd hyundai oil singapore pte. ltd.,hd hyundai oil singapore   ,82,1.0
toyota tsusho asia pacific pte. ltd.,toyota tsusho asia pacific   ,83,1.0
chalco trading singapore pte. ltd.,chalco trading singapore   ,84,1.0
shell singapore pte. ltd.,shell singapore   ,13,0.6877291798591614
summit energy & resources pte. ltd.,summit energy resources   ,85,1.0
pertamina international marketing & distribution pte. ltd,pertamina international marketing distribution  ,86,1.0
idemitsu international  pte. ltd.,idemitsu international   ,87,1.0
eneos oil & energy asia pte. ltd.,eneos oil energy asia   ,88,1.0
cosmo oil international pte. ltd.,cosmo oil international   ,89,1.0
jfe shoji corporation,jfe shoji corporation,90,1.0
century commodities solution pte. ltd.,century commodities solution   ,91,1.0
rawsteel minmetals pte. ltd.,rawsteel minmetals   ,92,1.0
gce agri; gce business consultants,gce agri gce business consultants,93,1.0
dkc steel singapore pte ltd.,dkc steel singapore   ,94,1.0
mri group pte. ltd,mri group  ,95,1.0
unifood int'l  pte. ltd.,unifood int l   ,96,1.0
noble resources international pte. ltd.,noble resources international   ,97,1.0
cemcoa energy pte. ltd.,cemcoa energy   ,98,1.0
interchem manufacturing pte. ltd.,interchem manufacturing   ,99,1.0
mitsubishi corporation rtm international pte ltd.,mitsubishi corporation rtm international   ,100,1.0
