Firm Name,name
trafigura group pte. ltd.,trafigura group   
vitol asia pte ltd.,vitol asia   
mercuria holdings  pte. ltd.,mercuria holdings   
gunvor singapore pte. ltd.,gunvor singapore   
louis dreyfus company asia pte. ltd.,louis dreyfus company asia   
wilmar international limited,wilmar international 
olam group limited,olam group 
cofco international singapore pte. ltd.,cofco international singapore   
cargill asia pacific holdings pte. ltd.,cargill asia pacific holdings   
glencore singapore pte. ltd.,glencore singapore   
archer-daniels-midland singapore pte. ltd.,archer daniels midland singapore   
bunge asia pte. ltd.,bunge asia   
marubeni corporation,marubeni corporation
mitsui & co.  pte. ltd.,mitsui co   
ptt international trading pte. ltd.,ptt international trading   
shell eastern trading  ltd,shell eastern trading 
bp asia pacific pte ltd,bp asia pacific  
totalenergies marketing asia-pacific middle east pte. ltd.,totalenergies marketing asia pacific middle east   
sinochem international oil  pte ltd,sinochem international oil  
agrocorp international pte ltd,agrocorp international  
golden agri international pte ltd,golden agri international  
musim mas holdings pte. ltd.,musim mas holdings   
first resources limited,first resources 
aavanti industries pte. ltd.,aavanti industries   
olam agri holdings limited,olam agri holdings 
gerald singapore pte. ltd.,gerald singapore   
pacific basin sg pte. ltd.,pacific basin sg   
wilmar sugar pte. ltd.,wilmar sugar   
sahara energy international pte. ltd.,sahara energy international   
socar trading singapore pte ltd,socar trading singapore  
wogen south east asia pte. ltd.,wogen south east asia   
traxys singapore pte. ltd.,traxys singapore   
trafigura carbon trading pte. ltd.,trafigura carbon trading   
ixm pte. ltd.,ixm   
aditya birla global trading  pte. ltd.,aditya birla global trading   
tata international singapore pte ltd.,tata international singapore   
vinmar overseas  pte ltd,vinmar overseas  
helm asia pte. ltd.,helm asia   
sino gas holdings pte. limited,sino gas holdings  
posco international singapore pte. ltd.,posco international singapore   
oilmar sgp pte. ltd.,oilmar sgp   
nala renewables pte. limited,nala renewables  
straits energy resources bhd,straits energy resources bhd
indofood agri resources ltd.,indofood agri resources  
adaro international  pte. ltd.,adaro international   
hg metal manufacturing limited,hg metal manufacturing 
sd guthrie international limited,sd guthrie international 
agrex asia pte. ltd.,agrex asia   
lx_international  pte. ltd.,lx international   
hyundai corporation singapore pte. ltd.,hyundai corporation singapore   
woodside energy australia asia holdings pte. ltd.,woodside energy australia asia holdings   
samsung c&t singapore pte. ltd.,samsung c t singapore   
sinopec fuel oil  pte. ltd.,sinopec fuel oil   
sojitz asia pte. ltd.,sojitz asia   
sumitomo corporation asia & oceania pte. ltd.,sumitomo corporation asia oceania   
citic commodities pte. ltd.,citic commodities   
petrochina international  pte. ltd.,petrochina international   
unipec singapore pte. ltd.,unipec singapore   
sinopec international  pte. ltd.,sinopec international   
sk energy international pte. ltd.,sk energy international   
itochu singapore pte ltd,itochu singapore  
gs global singapore pte. ltd.,gs global singapore   
cipta commodity trading pte. ltd.,cipta commodity trading   
davis commodities pte. ltd.,davis commodities   
om materials  pte ltd,om materials  
"banpu minerals  pte ltd, banpu singapore pte ltd.",banpu minerals   banpu singapore   
hd hyundai oil singapore pte. ltd.,hd hyundai oil singapore   
toyota tsusho asia pacific pte. ltd.,toyota tsusho asia pacific   
chalco trading singapore pte. ltd.,chalco trading singapore   
shell singapore pte. ltd.,shell singapore   
summit energy & resources pte. ltd.,summit energy resources   
pertamina international marketing & distribution pte. ltd,pertamina international marketing distribution  
idemitsu international  pte. ltd.,idemitsu international   
eneos oil & energy asia pte. ltd.,eneos oil energy asia   
cosmo oil international pte. ltd.,cosmo oil international   
jfe shoji corporation,jfe shoji corporation
century commodities solution pte. ltd.,century commodities solution   
rawsteel minmetals pte. ltd.,rawsteel minmetals   
gce agri; gce business consultants,gce agri gce business consultants
dkc steel singapore pte ltd.,dkc steel singapore   
mri group pte. ltd,mri group  
unifood int'l  pte. ltd.,unifood int l   
noble resources international pte. ltd.,noble resources international   
cemcoa energy pte. ltd.,cemcoa energy   
interchem manufacturing pte. ltd.,interchem manufacturing   
mitsubishi corporation rtm international pte ltd.,mitsubishi corporation rtm international   
aaa oils & fats pte. ltd.,aaa oils fats   
triland metals singapore pte. ltd.,triland metals singapore   
ginga petroleum  pte ltd /,ginga petroleum   
concord energy pte ltd,concord energy  
pacific minerals,pacific minerals
trimex group,trimex group
kz trading singapore pte. ltd.,kz trading singapore   
petraco oil company pte ltd.,petraco oil company   
the straits international pte. ltd.,the straits international   
straits bunkering pte. ltd.,straits bunkering   
pacific energy pte. ltd.,pacific energy   
quantum global  pte. ltd.,quantum global   
meridian equities pte. ltd.,meridian equities   
swan international holding pte. ltd.,swan international holding   
bary chemical pte ltd,bary chemical  
oriental energy pte ltd& oriental resources pte ltd,oriental energy   oriental resources  
bary chemical pte. ltd.,bary chemical   
mahkota oils & fats pte. ltd.,mahkota oils fats   
reed smith,reed smith
hfw (holman fenwick willan),hfw holman fenwick willan 
clyde & co,clyde co
stephenson harwood,stephenson harwood
watson farley & williams,watson farley williams
ince & co singapore llp,ince co singapore llp
norton rose fulbright,norton rose fulbright
baker mckenzie,baker mckenzie
squire patton boggs,squire patton boggs
hill dickinson,hill dickinson
mayer brown llp,mayer brown llp
latham & watkins llp,latham watkins llp
rajah & tann,rajah tann
allen & gledhill,allen gledhill
drew & napier,drew napier
wongpartnership,wongpartnership
helmsman llc,helmsman llc
blackstone & gold,blackstone gold
braddell brothers llp,braddell brothers llp
joseph tan jude benny llp,joseph tan jude benny llp
dentons rodyk & davidson llp,dentons rodyk davidson llp
oon & bazul llc,oon bazul llc
pdlegal llc,pdlegal llc
shook lin & bok llp,shook lin bok llp
tsmp law corporation,tsmp law corporation
virtus law llp,virtus law llp
dennismathiew,dennismathiew
asialegal llc,asialegal llc
"christopher lau, sc",christopher lau sc
dunbar & lim chambers llc,dunbar lim chambers llc
haridass ho & partners,haridass ho partners
gill arbitration services,gill arbitration services
pk wong & nair llc,pk wong nair llc
providence law asia llc,providence law asia llc
lvm law chambers llc,lvm law chambers llc
incisive law llc,incisive law llc
damodara ong llc,damodara ong llc
focus law asia llc,focus law asia llc
resource law llc,resource law llc
uniper global commodities se singapore branch,uniper global commodities se singapore branch
china merchants energy shipping (singapore) holding pte. ltd.,china merchants energy shipping singapore holding   
sinopec,sinopec
trafigura maritime logistics pte ltd,trafigura maritime logistics  
bgn energy,bgn energy
mitsui & co energy trading singapore (mets),mitsui co energy trading singapore mets 
equatorial marine fuel management services,equatorial marine fuel management services
ed&f man capital markets (singapore) pte. ltd.,ed f man capital markets singapore   
trafigura,trafigura
olam international,olam international
icici bank singapore branch,icici bank singapore branch
trafigura pte ltd,trafigura  
trafigura,trafigura
bw energy holdings pte ltd,bw energy holdings  
