Label,Type,Community
trafigura beheer bv,others,0
trafigura group,"trader, lender",0
icbc singapore branch,lender,0
china construction bank singapore branch,lender,0
tarago operations,others,0
hill dickinson,lawyer,0
agricultural bank of china singapore branch,lender,0
woodlawn mine holdings,others,0
lex oil,trader,0
trafigura carbon trading,trader,0
develop global,others,0
olam agri holdings,others,1
stephenson harwood,lawyer,1
olam food ingredients,trader,1
icici bank singapore branch,lender,1
bw energy holdings,others,1
hsbc singapore entities,lender,1
hsbc,lender,1
golden agri international,trader,1
watson farley & williams,lawyer,1
sinar mas group,trader,1
olam group,"trader, lender",1
holman fenwick willan hfw,lawyer,2
mitsui & co,"trader, lender",2
bgn energy,trader,2
mitsui & co energy trading singapore mets,trader,2
equatorial marine fuel management services,trader,2
first resources,trader,3
pdlegal llc,lawyer,3
agrocorp international,trader,3
rio tinto,others,3
wongpartnership,lawyer,3
asialegal llc,lawyer,3
louis dreyfus company asia,trader,3
norton rose fulbright,lawyer,3
dbs bank,lender,3
louis dreyfus company,trader,3
first sponsor group,others,3
shell singapore,trader,4
shell eastern trading,trader,4
baker mckenzie,lawyer,4
dentons rodyk & davidson llp,lawyer,5
winson oil trading,trader,5
thomson medical group tmg,others,5
oversea-chinese banking corporation ocbc,lender,5
boustead projects,others,5
jsw international tradecorp jsw,trader,5
bts tankers,others,5
oon & bazul llc,lawyer,5
allen & gledhill,lawyer,5
st telemedia global data centres,others,5
credit agricole,lender,6
cofco international,trader,6
natixis,lender,6
kipushi corporation sa,others,6
gunvor group,trader,6
mufg,lender,6
bunge,trader,6
six one commodities,trader,6
mercuria holdings,others,6
vitol asia,trader,6
amaroq,others,6
smbc,lender,6
mercuria energy group,trader,6
mercuria,trader,6
vitol group,trader,6
bunge asia,trader,6
cofco international singapore,trader,6
vast resources,others,6
uganda national oil unoc,trader,6
vale,others,6
gunvor singapore,trader,6
mufg bank singapore branch,lender,6
mercuria energy trading,trader,6
trafigura maritime logistics,others,7
sinopec international,trader,7
sinopec international singapore,trader,7
china merchants energy shipping holding singapore,others,7
sinopec,trader,7
uniper global commodities se singapore branch,trader,7
sumifru singapore,trader,7
sinopec fuel oil,trader,7
rajah & tann,lawyer,7
reed smith,lawyer,7
glory bulk carriers,others,8
tai chong cheang shipping singapore,others,8
ince & co singapore,lawyer,8
latham & watkins llp,lawyer,9
ocean network express,others,9
metro holdings,others,10
razer,others,10
drew & napier,lawyer,10
blackstone & gold,lawyer,11
alvari,trader,11
avani resources,trader,11
the singapore medical council smc,others,12
basf intertrade ag singapore branch,trader,12
braddell brothers llp,lawyer,12
bafco singapore,others,12
joseph tan jude benny llp,lawyer,13
fti consulting singapore,others,13
mizuho bank,lender,14
halcyon agri corporation,trader,14
tsmp law corporation,lawyer,14
westbridge ventures ii investment holdings,others,14
seraya energy,others,14
kpmg,others,14
perennial real estate holdings,others,14
ho lee construction,others,14
royal global exports,trader,15
dennismathiew,lawyer,15
atlantic navigation holdings singapore,others,15
gp global apac,trader,16
pricewaterhousecoopers pwc singapore,others,16
gtp advisory pac,others,16
providence law asia llc,lawyer,16
cye,others,17
unipec singapore,trader,17
lvm law chambers llc,lawyer,17
qbe insurance singapore,others,17
incisive law llc,lawyer,17
ms first capital insurance,others,17
great american insurance company,others,17
bank of china singapore branch,lender,17
grabtaxi holdings,others,17
argoglobal underwriting asia pacific,others,17
china taiping insurance singapore,others,17
focus law asia llc,lawyer,18
maersk tankers singapore,others,18
standard chartered bank singapore scb,lender,19
glencore,trader,19
seatrium,others,19
marubeni corporation,trader,19
standard chartered,lender,19
virtus law llp,lawyer,19
ing,lender,19
shook lin & bok llp,lawyer,19
katanga mining,others,19
glencore singapore,trader,19
united overseas bank uob,lender,20
barramundi group,others,20
helmsman llc,lawyer,20
wilmar sugar,trader,20
straits bunkering,trader,20
musim mas holdings,trader,20
cargill asia pacific holdings,trader,20
wilmar international,trader,20
cargill,trader,20
fs capital,lender,21
the daily cut,others,21
vyas engineering,others,21
new & novel engineering,others,21
freepoint commodities singapore,lender,22
the prax group,trader,22
clyde & co,lawyer,23
ed&f man capital markets singapore,lender,23
ed&f man capital,lender,23
pk wong & nair llc,lawyer,24
maybank singapore,lender,24
petrochina international singapore,trader,24
petrochina international,trader,24
haridass ho & partners,lawyer,25
marina offshore,others,25
