graph,n_nodes,spearman_in_deg,spearman_out_deg,spearman_betw,spearman_pagerank,newly_isolated_after_removal,ARI_community,constraint_top10_overlap
DG_top3_in_degree_removed,292,0.9475401928500483,0.9683188309757249,0.9608453535718638,0.9797848093720554,12,0.8752038207711531,6
DG_top3_out_degree_removed,292,0.9238431181401174,0.9696728809773543,0.9659875285268008,0.983451711548966,16,0.8486689785069448,6
DG_top3_betweenness_removed,292,0.9439567991809708,0.969430340317045,0.9229186429434543,0.9526294559129064,11,0.8841554553220901,5
DG_top3_pagerank_score_removed,295,0.9999999999999998,1.0,0.9999999999999998,1.0,0,0.9925468752819735,10
DG_bottom3_constraints_removed,295,0.9999999999999998,1.0,0.9999999999999998,1.0,0,0.9925468752819735,10
DG_top8_in_degree_removed,287,0.9194955160968806,0.9017466045703398,0.9019896320402407,0.9657873506365532,22,0.7898103666232912,6
DG_top8_out_degree_removed,287,0.8441120735777166,0.9663869414600867,0.9350528585053042,0.9636951826291861,28,0.7317047922558146,4
DG_top8_betweenness_removed,287,0.8932189176123871,0.9564456067862389,0.8754659313769199,0.9581837833441722,20,0.8073101602093051,4
DG_top8_pagerank_score_removed,295,0.9999999999999998,1.0,0.9999999999999998,1.0,0,0.9925468752819735,10
DG_bottom8_constraints_removed,295,0.9999999999999998,1.0,0.9999999999999998,1.0,0,0.9925468752819735,10
