name,role(s)
trafigura group,"trader, lender"
vitol asia,trader
mercuria holdings,others
gunvor singapore,trader
louis dreyfus company asia,trader
wilmar international,trader
olam group,"trader, lender"
cofco international singapore,trader
cargill asia pacific holdings,trader
glencore singapore,trader
archer-daniels-midland singapore,"trader, lender"
bunge asia,trader
marubeni corporation,trader
mitsui & co,"trader, lender"
ptt international trading,trader
shell eastern trading,trader
bp singapore,trader
totalenergies trading asia,trader
sinochem international oil,trader
agrocorp international,trader
golden agri international,trader
musim mas holdings,trader
first resources,trader
aavanti industries,trader
olam agri holdings,others
gerald singapore,trader
pacific basin sg,trader
wilmar sugar,trader
sahara energy international,trader
socar trading singapore,trader
wogen south east asia,trader
traxys singapore,"trader, lender"
trafigura carbon trading,trader
ixm,trader
aditya birla global trading,trader
tata international singapore,trader
vinmar overseas,trader
helm asia,trader
sino gas holdings,trader
posco international singapore,trader
oilmar sgp,trader
nala renewables,trader
straits energy resources bhd,trader
indofood agri resources,trader
adaro international,trader
hg metal manufacturing,trader
sd guthrie international,trader
agrex asia,trader
lx international,trader
hyundai corporation singapore,trader
woodside energy australia asia holdings,trader
samsung c&t singapore,trader
sinopec fuel oil,trader
sojitz asia,trader
sumitomo corporation asia & oceania,trader
citic commodities,trader
petrochina international,trader
unipec singapore,trader
sinopec international,trader
sk energy international,trader
itochu singapore,trader
gs global singapore,trader
cipta commodity trading,trader
davis commodities,trader
om materials,trader
banpu minerals singapore,trader
hd hyundai oil singapore,trader
toyota tsusho asia pacific,trader
chalco trading singapore,trader
shell singapore,trader
summit energy & resources,trader
pertamina international marketing & distribution,trader
idemitsu international,trader
eneos oil & energy asia,trader
cosmo oil international,trader
jfe shoji corporation,trader
century commodities solution,trader
rawsteel minmetals,trader
gce agri,trader
dkc steel singapore,trader
mri group,trader
unifood international,trader
noble resources international,trader
cemcoa energy,trader
interchem manufacturing,trader
mitsubishi corporation rtm international,trader
aaa oils & fats,trader
triland metals singapore,trader
ginga petroleum,trader
concord energy,trader
pacific minerals,trader
trimex group,trader
kz trading singapore,trader
petraco oil company,trader
the straits international,trader
straits bunkering,trader
pacific energy,trader
quantum global,trader
meridian equities,trader
swan international holding,trader
bary chemical,trader
oriental energy,trader
mahkota oils & fats,trader
reed smith,lawyer
holman fenwick willan hfw,lawyer
clyde & co,lawyer
stephenson harwood,lawyer
watson farley & williams,lawyer
ince & co singapore,lawyer
norton rose fulbright,lawyer
baker mckenzie,lawyer
squire patton boggs,lawyer
hill dickinson,lawyer
mayer brown llp,lawyer
latham & watkins llp,lawyer
rajah & tann,lawyer
allen & gledhill,lawyer
drew & napier,lawyer
wongpartnership,lawyer
helmsman llc,lawyer
blackstone & gold,lawyer
braddell brothers llp,lawyer
joseph tan jude benny llp,lawyer
dentons rodyk & davidson llp,lawyer
oon & bazul llc,lawyer
pdlegal llc,lawyer
shook lin & bok llp,lawyer
tsmp law corporation,lawyer
virtus law llp,lawyer
dennismathiew,lawyer
asialegal llc,lawyer
christopher lau sc,lawyer
dunbar & lim chambers llc,lawyer
haridass ho & partners,lawyer
gill arbitration services,lawyer
pk wong & nair llc,lawyer
providence law asia llc,lawyer
lvm law chambers llc,lawyer
incisive law llc,lawyer
damodara ong llc,lawyer
focus law asia llc,lawyer
resource law llc,lawyer
uniper global commodities se singapore branch,
china merchants energy shipping holding singapore,others
sinopec,trader
trafigura maritime logistics,others
bgn energy,trader
mitsui & co energy trading singapore (mets),trader
equatorial marine fuel management services,others
ed&f man capital markets singapore,lender
icici bank singapore branch,lender
bw energy holdings,others
hsbc singapore entities,lender
glory bulk carriers,others
tai chong cheang shipping singapore,others
ocean network express,others
sumifru singapore,trader
sinopec international singapore,trader
jsw international tradecorp,trader
st telemedia global data centres,others
bts tankers,others
dbs bank,lender
united overseas bank uob,lender
oversea-chinese banking corporation ocbc,lender
metro holdings,others
razer,others
first sponsor group,others
avani resources,trader
alvari,others
bafco singapore,others
the singapore medical council smc,others
basf intertrade ag singapore branch,trader
fti consulting singapore,others
boustead projects,others
thomson medical group tmg,others
winson oil trading,trader
standard chartered bank singapore scb,lender
halcyon agri corporation,trader
seraya energy,others
kpmg,others
mizuho bank,lender
perennial real estate holdings,others
ho lee construction,others
westbridge ventures ii investment holdings,others
atlantic navigation holdings singapore,others
royal global exports,trader
marina offshore,others
maybank singapore,lender
petrochina international singapore,trader
pricewaterhousecoopers pwc singapore,others
gtp advisory pac,others
gp global apac,trader
ms first capital insurance,others
grabtaxi holdings,others
cye,others
argoglobal underwriting asia pacific,others
china taiping insurance singapore,others
great american insurance company,others
qbe insurance singapore,others
maersk tankers singapore,others
ing,lender
societe generale,lender
bnp paribas,lender
rabobank,lender
standard chartered,lender
mufg,lender
smbc,lender
credit agricole,lender
hsbc,lender
natixis,lender
bank of china singapore branch,lender
china construction bank singapore branch,lender
icbc singapore branch,lender
agricultural bank of china singapore branch,lender
shanghai pudong development bank spdb singapore branch,lender
mufg bank singapore branch,lender
macquarie bank singapore branch,lender
commonwealth bank of australia cba singapore branch,lender
anz bank singapore branch,lender
westpac banking corporation singapore branch,lender
national australia bank nab singapore branch,lender
cimb bank berhad singapore branch,lender
malayan banking berhad singapore,lender
rhb bank berhad singapore branch,lender
bank of east asia bea singapore branch,lender
state bank of india singapore branch,lender
dz bank ag singapore branch,lender
deutsche bank ag singapore branch,lender
commerzbank ag singapore branch,lender
citibank singapore,lender
goldman sachs singapore branch,lender
jpmorgan chase bank singapore branch,lender
bbva singapore branch,lender
bank of america singapore branch,lender
ossiano,lender
copap,lender
tradeflow capital,lender
mercore,lender
audentia,lender
ed&f man capital,lender
czarnikow,lender
sucden financial,lender
drip capital,lender
incomlend,lender
gxs capital,lender
fs capital,lender
ifs capital,lender
straits financial services,lender
gb helios,lender
nomura securities singapore,lender
adm capital,lender
hong leong finance,lender
eastvine capital,lender
sing investments & finance,lender
zma smart capital,lender
mufg trading singapore,lender
orix leasing singapore,lender
capital match platform,lender
seatown holdings,lender
modifi asia,lender
stonex financial,lender
horizon capital ag singapore rep,lender
hartree partners singapore,lender
freepoint commodities singapore,lender
glencore,"trader, lender"
gunvor group,"trader, lender"
vitol group,"trader, lender"
seatrium,others
louis dreyfus company,"trader, lender"
rio tinto,others
cargill,"trader, lender"
sinar mas group,others
barramundi group,others
cofco international,"trader, lender"
bunge,"trader, lender"
six one commodities,trader
mercuria energy group,trader
vale,others
olam food ingredients,others
trafigura beheer bv,others
mercuria energy trading,"trader, lender"
the daily cut,others
new novel engineering,others
vyas engineering,others
the prax group,trader
lex oil,trader
develop global,others
woodlawn mine holdings,others
tarago operations,others
amaroq,others
uganda national oil unoc,trader
katanga mining,others
kipushi corporation sa,others
vast resources,others
